"Gender","MaritalStatus","TotalChildren","AvgMonthSpend","BikeBuyerText","Edad","Rango de edad"
"0","1","0","46","0","28","27 - 59"
"0","0","2","50","1","57","27 - 59"
"1","0","2","54","1","66","60 - 94"
"0","1","1","52","0","58","27 - 59"
"0","1","0","50","0","34","27 - 59"
"1","1","0","52","0","30","27 - 59"
"0","1","0","53","0","51","27 - 59"
"0","0","2","51","1","43","27 - 59"
"1","0","2","52","1","57","27 - 59"
"0","0","2","53","1","48","27 - 59"
"1","1","0","60","1","39","27 - 59"
"0","0","1","53","1","36","27 - 59"
"0","1","0","54","1","47","27 - 59"
"1","1","0","53","0","31","27 - 59"
"0","0","1","52","1","31","27 - 59"
"1","1","0","56","0","38","27 - 59"
"1","0","3","51","0","64","60 - 94"
"1","1","0","58","1","42","27 - 59"
"0","0","2","47","0","65","60 - 94"
"0","0","0","49","0","27","27 - 59"
"1","0","2","57","1","61","60 - 94"
"1","1","1","50","0","61","60 - 94"
"0","1","0","53","0","30","27 - 59"
"0","1","0","52","1","37","27 - 59"
"1","0","1","48","1","36","27 - 59"
"1","0","2","49","0","64","60 - 94"
"0","1","0","48","0","38","27 - 59"
"0","1","0","55","1","35","27 - 59"
"1","0","0","51","0","28","27 - 59"
"1","1","0","51","0","48","27 - 59"
"0","0","0","50","1","27","27 - 59"
"1","1","0","57","1","37","27 - 59"
"0","0","2","51","1","56","27 - 59"
"0","0","2","55","1","40","27 - 59"
"1","1","0","56","1","51","27 - 59"
"0","1","0","54","1","51","27 - 59"
"0","1","0","50","0","33","27 - 59"
"1","1","0","55","0","31","27 - 59"
"0","0","2","54","0","62","60 - 94"
"0","0","2","50","0","44","27 - 59"
"0","1","1","53","0","58","27 - 59"
"1","1","0","56","0","39","27 - 59"
"1","0","2","52","1","33","27 - 59"
"0","0","1","47","0","40","27 - 59"
"0","1","0","52","0","27","27 - 59"
"1","0","0","58","0","41","27 - 59"
"1","0","2","54","1","48","27 - 59"
"1","1","0","48","1","42","27 - 59"
"0","0","2","50","1","48","27 - 59"
"0","1","0","55","0","33","27 - 59"
"0","0","2","52","1","52","27 - 59"
"1","0","1","54","1","46","27 - 59"
"1","1","0","53","1","32","27 - 59"
"1","0","2","53","1","55","27 - 59"
"1","0","3","51","0","64","60 - 94"
"0","1","0","53","1","37","27 - 59"
"0","1","1","49","1","65","60 - 94"
"1","1","0","53","0","28","27 - 59"
"1","1","0","61","1","42","27 - 59"
"1","1","0","52","1","35","27 - 59"
"0","0","2","49","1","48","27 - 59"
"1","1","0","50","1","43","27 - 59"
"0","0","0","53","1","45","27 - 59"
"1","0","2","51","0","54","27 - 59"
"1","0","2","54","0","44","27 - 59"
"1","1","0","49","0","29","27 - 59"
"1","1","0","61","0","39","27 - 59"
"1","0","2","57","1","51","27 - 59"
"0","0","0","51","0","39","27 - 59"
"0","0","2","53","1","33","27 - 59"
"0","1","1","50","1","60","60 - 94"
"0","1","0","49","0","28","27 - 59"
"1","0","1","52","1","39","27 - 59"
"0","1","1","53","1","62","60 - 94"
"1","1","0","57","0","29","27 - 59"
"0","0","0","51","1","37","27 - 59"
"0","1","0","50","0","40","27 - 59"
"1","1","0","56","0","45","27 - 59"
"0","0","2","51","1","57","27 - 59"
"0","0","2","53","1","44","27 - 59"
"0","1","0","54","0","28","27 - 59"
"0","0","1","50","1","47","27 - 59"
"0","1","0","56","0","46","27 - 59"
"1","1","0","46","0","28","27 - 59"
"0","1","0","50","0","47","27 - 59"
"0","0","2","49","1","53","27 - 59"
"1","1","0","57","0","47","27 - 59"
"1","0","1","57","1","50","27 - 59"
"1","0","0","49","1","23","23 - 26"
"1","1","0","55","1","31","27 - 59"
"1","0","2","52","1","52","27 - 59"
"0","0","0","48","0","26","23 - 26"
"1","0","2","50","1","59","27 - 59"
"1","1","0","48","0","24","23 - 26"
"1","0","1","59","1","42","27 - 59"
"1","1","1","50","1","57","27 - 59"
"0","1","0","47","0","51","27 - 59"
"1","0","2","54","1","48","27 - 59"
"1","1","0","52","0","35","27 - 59"
"1","0","2","55","1","49","27 - 59"
"0","0","2","53","1","61","60 - 94"
"1","0","1","58","1","41","27 - 59"
"1","1","0","52","1","42","27 - 59"
"0","0","1","48","1","50","27 - 59"
"0","0","2","50","1","45","27 - 59"
"0","1","0","47","0","29","27 - 59"
"1","0","2","50","1","50","27 - 59"
"1","0","2","55","1","48","27 - 59"
"0","0","2","51","1","44","27 - 59"
"0","1","1","51","0","61","60 - 94"
"0","1","0","53","1","38","27 - 59"
"1","1","0","52","1","25","23 - 26"
"0","0","2","49","1","47","27 - 59"
"1","0","2","54","0","44","27 - 59"
"1","1","0","55","1","36","27 - 59"
"0","1","0","56","1","36","27 - 59"
"0","1","0","51","1","27","27 - 59"
"0","0","0","51","0","35","27 - 59"
"0","1","0","54","0","31","27 - 59"
"1","0","2","50","1","60","60 - 94"
"0","1","0","52","0","53","27 - 59"
"1","1","0","51","0","29","27 - 59"
"0","0","0","48","1","30","27 - 59"
"0","0","2","54","1","43","27 - 59"
"1","0","2","59","0","44","27 - 59"
"0","1","0","50","0","51","27 - 59"
"1","0","2","48","1","57","27 - 59"
"0","0","0","49","0","25","23 - 26"
"0","0","2","54","1","47","27 - 59"
"0","1","0","51","0","41","27 - 59"
"1","0","2","52","0","42","27 - 59"
"0","0","2","55","1","39","27 - 59"
"0","1","0","49","0","25","23 - 26"
"0","1","0","55","1","46","27 - 59"
"1","1","0","57","1","42","27 - 59"
"0","0","2","50","1","43","27 - 59"
"1","1","0","52","1","35","27 - 59"
"1","0","2","57","1","49","27 - 59"
"1","0","2","47","0","58","27 - 59"
"1","1","0","50","1","41","27 - 59"
"0","1","0","48","0","25","23 - 26"
"1","0","2","55","1","59","27 - 59"
"0","0","3","48","0","65","60 - 94"
"0","0","1","47","0","39","27 - 59"
"1","1","0","53","0","55","27 - 59"
"1","1","0","48","1","54","27 - 59"
"1","0","2","62","1","38","27 - 59"
"0","0","2","50","1","49","27 - 59"
"0","1","0","52","1","40","27 - 59"
"0","1","0","48","0","45","27 - 59"
"0","0","2","52","1","44","27 - 59"
"1","0","3","46","0","70","60 - 94"
"1","0","1","55","0","44","27 - 59"
"1","1","0","53","1","30","27 - 59"
"0","1","0","51","1","43","27 - 59"
"1","0","2","55","1","46","27 - 59"
"1","0","0","51","1","37","27 - 59"
"1","0","2","56","0","38","27 - 59"
"0","0","2","52","1","47","27 - 59"
"1","1","1","55","1","66","60 - 94"
"0","1","0","49","0","35","27 - 59"
"0","1","0","53","1","33","27 - 59"
"0","1","0","50","0","55","27 - 59"
"0","1","0","54","0","36","27 - 59"
"1","0","1","50","1","33","27 - 59"
"0","1","0","53","1","42","27 - 59"
"1","1","1","54","1","69","60 - 94"
"0","0","2","51","0","46","27 - 59"
"0","1","0","53","0","37","27 - 59"
"1","1","0","50","1","28","27 - 59"
"0","0","2","51","0","45","27 - 59"
"0","1","0","55","1","31","27 - 59"
"1","0","1","49","1","34","27 - 59"
"0","1","0","45","0","36","27 - 59"
"1","0","2","65","1","37","27 - 59"
"0","0","1","52","1","44","27 - 59"
"1","0","2","49","1","52","27 - 59"
"0","1","0","50","1","38","27 - 59"
"1","1","0","61","0","40","27 - 59"
"0","1","0","49","1","25","23 - 26"
"1","0","0","50","1","26","23 - 26"
"1","0","2","52","1","63","60 - 94"
"0","0","2","48","1","57","27 - 59"
"0","1","0","52","0","50","27 - 59"
"0","1","0","47","1","28","27 - 59"
"0","1","0","52","0","35","27 - 59"
"1","0","2","51","1","33","27 - 59"
"1","0","2","48","0","62","60 - 94"
"0","0","2","50","1","60","60 - 94"
"0","0","2","54","1","45","27 - 59"
"0","0","0","47","1","30","27 - 59"
"1","0","2","54","1","47","27 - 59"
"0","1","0","51","0","33","27 - 59"
"0","0","2","49","1","32","27 - 59"
"1","1","0","64","1","39","27 - 59"
"1","0","1","48","1","39","27 - 59"
"0","0","0","49","0","29","27 - 59"
"1","1","0","52","1","40","27 - 59"
"0","1","0","50","0","28","27 - 59"
"1","0","0","48","1","30","27 - 59"
"1","0","2","57","1","51","27 - 59"
"1","0","2","51","1","44","27 - 59"
"1","0","1","59","1","50","27 - 59"
"0","0","2","53","1","55","27 - 59"
"0","0","2","52","0","64","60 - 94"
"1","0","2","60","1","52","27 - 59"
"0","1","0","48","1","52","27 - 59"
"1","1","0","55","1","41","27 - 59"
"0","0","1","47","0","47","27 - 59"
"1","0","2","53","1","61","60 - 94"
"0","1","0","50","1","44","27 - 59"
"1","1","0","54","1","41","27 - 59"
"1","0","0","48","1","31","27 - 59"
"1","0","2","51","1","54","27 - 59"
"1","0","2","45","0","34","27 - 59"
"1","1","0","46","0","31","27 - 59"
"0","0","2","56","1","36","27 - 59"
"1","1","0","54","1","35","27 - 59"
"0","1","0","54","1","38","27 - 59"
"1","0","0","60","1","38","27 - 59"
"0","0","0","52","1","39","27 - 59"
"1","1","0","48","0","32","27 - 59"
"0","1","0","51","1","39","27 - 59"
"0","0","1","48","0","40","27 - 59"
"1","0","2","51","1","38","27 - 59"
"1","0","2","58","1","51","27 - 59"
"0","1","0","53","0","40","27 - 59"
"1","0","2","52","1","60","60 - 94"
"1","0","2","49","0","57","27 - 59"
"1","0","2","50","1","54","27 - 59"
"1","0","2","56","0","49","27 - 59"
"0","1","0","51","1","33","27 - 59"
"0","0","2","50","1","38","27 - 59"
"1","1","0","55","1","45","27 - 59"
"0","1","1","53","1","63","60 - 94"
"0","1","0","50","0","40","27 - 59"
"1","0","2","54","1","54","27 - 59"
"1","0","2","53","1","33","27 - 59"
"0","1","0","50","1","36","27 - 59"
"0","0","2","52","1","48","27 - 59"
"1","1","0","49","0","29","27 - 59"
"0","1","0","50","0","25","23 - 26"
"0","0","2","48","1","53","27 - 59"
"1","0","0","52","0","33","27 - 59"
"0","0","3","50","1","65","60 - 94"
"1","1","0","62","1","43","27 - 59"
"1","0","0","50","0","26","23 - 26"
"1","0","1","57","0","37","27 - 59"
"0","1","0","51","1","35","27 - 59"
"0","1","0","48","1","46","27 - 59"
"1","1","0","52","1","47","27 - 59"
"1","1","0","59","0","40","27 - 59"
"0","0","2","53","0","38","27 - 59"
"1","1","0","59","0","47","27 - 59"
"1","0","2","59","1","47","27 - 59"
"1","0","2","55","1","40","27 - 59"
"1","0","2","61","1","39","27 - 59"
"0","1","0","51","1","39","27 - 59"
"0","0","0","51","0","28","27 - 59"
"0","0","1","51","1","36","27 - 59"
"1","0","2","54","1","43","27 - 59"
"1","1","0","54","1","39","27 - 59"
"0","1","0","50","1","45","27 - 59"
"0","1","0","52","1","55","27 - 59"
"1","1","0","47","0","34","27 - 59"
"1","1","0","56","1","39","27 - 59"
"0","0","2","49","0","49","27 - 59"
"0","0","1","47","0","51","27 - 59"
"0","0","1","48","0","39","27 - 59"
"0","1","0","49","0","39","27 - 59"
"0","1","1","51","0","58","27 - 59"
"1","0","2","51","1","41","27 - 59"
"1","1","0","50","0","34","27 - 59"
"0","1","0","51","0","37","27 - 59"
"0","1","0","48","0","28","27 - 59"
"0","1","1","54","1","91","60 - 94"
"1","0","1","49","1","32","27 - 59"
"1","0","2","52","1","49","27 - 59"
"0","0","2","48","1","55","27 - 59"
"1","0","1","49","1","35","27 - 59"
"0","0","1","52","1","56","27 - 59"
"1","0","2","56","1","58","27 - 59"
"1","1","1","49","1","60","60 - 94"
"0","0","0","47","0","30","27 - 59"
"0","1","0","52","1","37","27 - 59"
"0","0","2","49","1","48","27 - 59"
"0","1","0","52","0","31","27 - 59"
"1","0","2","47","0","48","27 - 59"
"1","1","0","52","1","37","27 - 59"
"0","1","0","55","0","27","27 - 59"
"0","0","2","49","1","43","27 - 59"
"0","1","0","49","0","38","27 - 59"
"0","0","2","53","1","68","60 - 94"
"1","0","1","55","0","40","27 - 59"
"1","1","0","46","0","26","23 - 26"
"0","0","2","49","0","60","60 - 94"
"1","0","2","52","1","59","27 - 59"
"1","1","0","52","1","26","23 - 26"
"0","1","0","53","1","35","27 - 59"
"1","0","0","46","0","30","27 - 59"
"1","1","0","51","0","31","27 - 59"
"1","0","2","54","1","48","27 - 59"
"0","1","0","50","1","55","27 - 59"
"0","1","0","54","1","46","27 - 59"
"0","0","2","52","1","48","27 - 59"
"0","1","0","50","0","30","27 - 59"
"1","0","2","52","1","55","27 - 59"
"0","1","0","49","1","45","27 - 59"
"0","0","1","51","0","32","27 - 59"
"1","0","3","47","1","71","60 - 94"
"1","0","2","62","1","45","27 - 59"
"0","0","2","52","1","50","27 - 59"
"0","0","0","47","1","27","27 - 59"
"0","1","0","49","0","55","27 - 59"
"1","0","1","51","1","46","27 - 59"
"1","0","2","53","0","50","27 - 59"
"1","1","1","50","1","60","60 - 94"
"1","0","2","58","1","46","27 - 59"
"1","0","2","53","1","57","27 - 59"
"0","1","0","51","1","43","27 - 59"
"1","0","1","59","1","42","27 - 59"
"1","0","2","57","1","50","27 - 59"
"0","1","0","50","0","32","27 - 59"
"1","0","2","63","1","45","27 - 59"
"0","0","2","53","1","42","27 - 59"
"1","1","0","58","0","40","27 - 59"
"1","1","0","49","1","36","27 - 59"
"1","0","0","52","1","33","27 - 59"
"0","1","0","54","1","28","27 - 59"
"1","0","2","55","0","56","27 - 59"
"0","0","1","47","1","53","27 - 59"
"1","0","1","55","0","39","27 - 59"
"0","0","2","48","1","46","27 - 59"
"1","1","0","50","1","24","23 - 26"
"0","1","0","54","0","50","27 - 59"
"1","1","0","56","1","38","27 - 59"
"1","1","0","51","1","44","27 - 59"
"0","1","0","47","0","31","27 - 59"
"0","1","0","56","1","35","27 - 59"
"1","1","0","54","1","39","27 - 59"
"0","0","2","52","0","71","60 - 94"
"0","1","0","51","0","27","27 - 59"
"1","1","0","61","1","45","27 - 59"
"1","1","0","53","0","28","27 - 59"
"0","1","0","47","0","28","27 - 59"
"0","0","2","48","0","58","27 - 59"
"1","1","0","47","0","28","27 - 59"
"0","0","1","49","1","45","27 - 59"
"0","0","2","46","0","54","27 - 59"
"0","0","2","47","1","39","27 - 59"
"1","0","2","46","1","55","27 - 59"
"0","1","0","50","0","33","27 - 59"
"1","1","0","50","1","36","27 - 59"
"0","0","2","51","1","46","27 - 59"
"0","0","2","54","1","43","27 - 59"
"0","1","0","50","0","33","27 - 59"
"0","0","2","50","1","53","27 - 59"
"0","1","0","53","0","27","27 - 59"
"1","1","0","53","1","45","27 - 59"
"0","1","0","54","0","25","23 - 26"
"0","0","2","49","1","38","27 - 59"
"0","1","0","55","1","36","27 - 59"
"1","0","2","52","1","45","27 - 59"
"0","1","1","54","1","62","60 - 94"
"1","0","1","49","0","32","27 - 59"
"1","0","2","59","1","55","27 - 59"
"1","0","3","49","0","68","60 - 94"
"1","0","0","48","1","30","27 - 59"
"1","0","1","46","0","32","27 - 59"
"0","0","3","49","1","91","60 - 94"
"0","0","0","53","1","33","27 - 59"
"0","1","0","55","0","42","27 - 59"
"1","1","0","59","1","47","27 - 59"
"0","1","0","52","0","36","27 - 59"
"0","1","0","48","1","45","27 - 59"
"0","1","0","50","0","42","27 - 59"
"0","1","0","56","1","25","23 - 26"
"0","0","0","51","1","36","27 - 59"
"1","1","0","59","1","43","27 - 59"
"1","0","2","57","0","42","27 - 59"
"1","0","2","49","1","59","27 - 59"
"1","1","0","50","0","48","27 - 59"
"0","1","0","56","1","31","27 - 59"
"1","0","2","55","1","67","60 - 94"
"1","1","1","53","0","62","60 - 94"
"1","0","2","49","1","38","27 - 59"
"0","0","2","48","1","37","27 - 59"
"1","0","0","54","1","42","27 - 59"
"0","1","0","55","1","35","27 - 59"
"1","1","0","52","0","35","27 - 59"
"0","1","1","55","1","68","60 - 94"
"1","0","2","55","1","65","60 - 94"
"1","1","0","49","1","31","27 - 59"
"0","1","0","51","0","41","27 - 59"
"1","0","0","52","1","36","27 - 59"
"0","0","2","50","0","68","60 - 94"
"0","0","0","52","1","32","27 - 59"
"0","1","0","49","0","50","27 - 59"
"0","0","2","56","1","48","27 - 59"
"0","0","2","53","1","38","27 - 59"
"1","0","2","50","1","35","27 - 59"
"0","0","0","52","1","36","27 - 59"
"0","0","2","48","1","67","60 - 94"
"0","0","3","48","0","66","60 - 94"
"1","0","2","56","0","42","27 - 59"
"1","1","0","59","1","45","27 - 59"
"0","1","0","50","0","41","27 - 59"
"0","0","2","51","1","54","27 - 59"
"0","1","0","49","0","30","27 - 59"
"1","1","0","54","0","30","27 - 59"
"0","1","0","50","0","43","27 - 59"
"1","0","2","56","0","41","27 - 59"
"0","1","0","46","1","37","27 - 59"
"0","0","2","49","1","46","27 - 59"
"1","0","2","52","1","40","27 - 59"
"0","1","0","57","1","32","27 - 59"
"1","1","1","50","0","62","60 - 94"
"1","0","2","51","1","48","27 - 59"
"0","0","2","54","1","59","27 - 59"
"1","1","0","51","0","36","27 - 59"
"0","1","0","51","1","37","27 - 59"
"1","0","2","53","0","43","27 - 59"
"1","0","2","52","0","61","60 - 94"
"1","0","2","64","1","56","27 - 59"
"1","1","0","62","0","41","27 - 59"
"1","1","1","48","1","63","60 - 94"
"1","0","1","52","1","50","27 - 59"
"0","0","2","51","1","33","27 - 59"
"0","0","2","51","1","45","27 - 59"
"1","0","1","50","1","34","27 - 59"
"1","0","2","58","1","45","27 - 59"
"1","0","2","59","0","42","27 - 59"
"1","0","1","52","1","36","27 - 59"
"0","0","2","50","1","50","27 - 59"
"1","1","0","51","0","30","27 - 59"
"1","1","0","51","1","26","23 - 26"
"0","0","0","50","1","29","27 - 59"
"0","0","3","54","1","59","27 - 59"
"1","1","0","51","1","45","27 - 59"
"0","1","0","50","0","38","27 - 59"
"0","0","0","48","1","31","27 - 59"
"1","0","0","46","0","30","27 - 59"
"0","1","0","53","0","31","27 - 59"
"1","0","2","49","1","42","27 - 59"
"1","1","0","59","1","44","27 - 59"
"1","0","0","57","0","40","27 - 59"
"0","1","0","53","0","37","27 - 59"
"1","0","2","50","1","33","27 - 59"
"1","0","2","63","1","39","27 - 59"
"0","0","2","49","1","57","27 - 59"
"0","1","0","51","0","24","23 - 26"
"0","0","2","57","1","46","27 - 59"
"1","0","2","54","1","43","27 - 59"
"1","0","2","51","1","42","27 - 59"
"0","0","2","52","1","48","27 - 59"
"0","0","2","48","1","47","27 - 59"
"0","1","0","51","0","29","27 - 59"
"1","0","2","51","0","60","60 - 94"
"1","0","1","55","1","41","27 - 59"
"0","1","0","49","1","37","27 - 59"
"1","0","0","52","0","40","27 - 59"
"0","0","2","52","1","51","27 - 59"
"1","1","0","47","0","27","27 - 59"
"0","1","0","51","1","33","27 - 59"
"0","0","2","48","0","68","60 - 94"
"0","1","0","53","0","31","27 - 59"
"1","1","0","52","1","36","27 - 59"
"0","0","1","53","1","36","27 - 59"
"0","1","1","51","0","65","60 - 94"
"0","0","0","52","1","45","27 - 59"
"1","0","2","48","0","85","60 - 94"
"1","1","0","51","0","32","27 - 59"
"0","0","2","52","1","40","27 - 59"
"0","0","0","48","0","25","23 - 26"
"1","1","0","57","0","41","27 - 59"
"1","0","3","52","1","66","60 - 94"
"0","1","0","51","0","40","27 - 59"
"0","0","2","48","1","52","27 - 59"
"1","1","1","56","0","60","60 - 94"
"1","0","2","55","1","37","27 - 59"
"1","1","0","49","1","24","23 - 26"
"0","1","0","55","1","48","27 - 59"
"1","0","0","45","0","25","23 - 26"
"1","0","2","46","0","34","27 - 59"
"1","1","0","51","1","28","27 - 59"
"0","0","2","55","1","60","60 - 94"
"1","0","1","52","1","55","27 - 59"
"0","1","0","51","0","41","27 - 59"
"1","0","0","50","1","25","23 - 26"
"1","0","2","51","0","61","60 - 94"
"1","0","2","57","0","55","27 - 59"
"0","0","2","45","0","49","27 - 59"
"0","1","0","48","0","29","27 - 59"
"0","0","2","56","1","45","27 - 59"
"0","0","3","49","0","61","60 - 94"
"0","0","2","51","1","45","27 - 59"
"0","0","0","48","1","31","27 - 59"
"0","0","1","50","0","36","27 - 59"
"1","1","0","51","0","54","27 - 59"
"0","0","3","49","1","58","27 - 59"
"1","0","2","58","0","48","27 - 59"
"1","1","0","51","0","52","27 - 59"
"1","0","2","59","1","40","27 - 59"
"1","1","0","52","0","32","27 - 59"
"0","1","0","54","0","38","27 - 59"
"1","1","0","54","0","28","27 - 59"
"0","0","1","48","1","45","27 - 59"
"1","0","0","50","0","24","23 - 26"
"1","1","0","53","1","48","27 - 59"
"1","1","0","48","0","36","27 - 59"
"1","0","2","49","0","49","27 - 59"
"0","1","0","51","0","31","27 - 59"
"1","0","2","54","1","35","27 - 59"
"1","1","1","54","0","60","60 - 94"
"1","0","2","50","0","35","27 - 59"
"1","1","1","52","0","57","27 - 59"
"1","1","0","52","1","28","27 - 59"
"1","1","0","58","0","39","27 - 59"
"0","1","0","55","1","38","27 - 59"
"0","1","0","51","0","33","27 - 59"
"0","0","2","53","1","64","60 - 94"
"1","1","0","51","1","39","27 - 59"
"0","0","2","48","0","50","27 - 59"
"0","1","0","50","1","27","27 - 59"
"1","0","0","52","0","26","23 - 26"
"0","1","0","49","1","38","27 - 59"
"0","1","0","50","1","35","27 - 59"
"1","0","2","54","0","49","27 - 59"
"1","0","2","53","1","62","60 - 94"
"0","1","0","53","1","51","27 - 59"
"0","0","2","50","0","50","27 - 59"
"1","0","2","46","0","60","60 - 94"
"0","0","1","47","0","48","27 - 59"
"0","0","2","53","1","42","27 - 59"
"1","0","2","50","1","44","27 - 59"
"1","1","0","51","1","26","23 - 26"
"1","0","2","59","1","47","27 - 59"
"1","1","0","58","1","38","27 - 59"
"1","0","1","54","1","38","27 - 59"
"1","0","2","46","0","53","27 - 59"
"0","0","1","46","0","48","27 - 59"
"0","1","0","49","0","36","27 - 59"
"1","0","0","53","0","40","27 - 59"
"1","1","0","53","1","33","27 - 59"
"0","0","2","49","0","54","27 - 59"
"1","1","0","48","1","24","23 - 26"
"0","0","1","52","1","33","27 - 59"
"0","0","2","53","1","49","27 - 59"
"1","1","0","53","1","35","27 - 59"
"0","1","0","55","1","30","27 - 59"
"1","0","1","53","1","41","27 - 59"
"0","0","2","54","1","40","27 - 59"
"1","0","0","60","1","45","27 - 59"
"0","1","0","45","0","48","27 - 59"
"1","0","0","49","0","25","23 - 26"
"1","1","0","57","1","39","27 - 59"
"0","1","1","49","1","67","60 - 94"
"1","1","0","53","1","49","27 - 59"
"0","0","2","53","1","40","27 - 59"
"1","1","0","51","1","28","27 - 59"
"1","1","0","51","1","29","27 - 59"
"1","1","0","60","1","40","27 - 59"
"0","0","2","52","1","59","27 - 59"
"0","0","2","53","1","60","60 - 94"
"1","1","0","54","1","31","27 - 59"
"1","0","2","53","0","49","27 - 59"
"1","1","0","61","1","50","27 - 59"
"1","1","0","53","1","35","27 - 59"
"0","0","2","48","1","61","60 - 94"
"0","1","0","50","1","42","27 - 59"
"0","0","2","49","0","33","27 - 59"
"0","0","2","51","1","40","27 - 59"
"1","1","1","51","1","61","60 - 94"
"1","0","1","50","0","38","27 - 59"
"0","0","2","51","1","48","27 - 59"
"0","1","1","48","1","74","60 - 94"
"1","0","2","59","1","50","27 - 59"
"1","1","0","54","0","50","27 - 59"
"1","1","0","51","0","38","27 - 59"
"1","1","0","53","1","25","23 - 26"
"1","0","2","51","1","58","27 - 59"
"1","1","0","51","1","41","27 - 59"
"1","1","0","60","1","43","27 - 59"
"1","1","0","54","1","38","27 - 59"
"0","1","0","50","0","38","27 - 59"
"1","1","0","49","0","36","27 - 59"
"1","0","2","53","1","41","27 - 59"
"0","0","2","54","1","44","27 - 59"
"0","0","2","52","1","57","27 - 59"
"1","0","1","53","1","31","27 - 59"
"1","1","0","45","0","31","27 - 59"
"0","1","0","52","1","39","27 - 59"
"1","1","0","52","0","23","23 - 26"
"0","1","0","50","0","35","27 - 59"
"1","0","1","59","0","42","27 - 59"
"1","1","0","48","0","31","27 - 59"
"0","0","2","52","1","48","27 - 59"
"0","0","2","45","0","67","60 - 94"
"0","1","0","55","0","35","27 - 59"
"0","0","0","50","1","28","27 - 59"
"0","0","2","49","1","53","27 - 59"
"0","0","2","48","1","50","27 - 59"
"1","1","0","50","0","31","27 - 59"
"1","0","2","57","1","56","27 - 59"
"1","1","0","56","1","51","27 - 59"
"0","1","0","51","1","29","27 - 59"
"1","0","0","46","0","30","27 - 59"
"1","0","2","48","0","59","27 - 59"
"0","0","0","49","1","25","23 - 26"
"0","0","2","48","0","57","27 - 59"
"0","0","2","47","0","50","27 - 59"
"1","1","0","54","0","28","27 - 59"
"0","1","0","48","0","45","27 - 59"
"1","0","1","57","1","43","27 - 59"
